1,23895,2
1,13817,5
1,8023,3
1,21625,4
1,17104,5
1,25467,5
1,18433,4
1,19032,5
1,20651,5
1,1353,5
1,22280,5
1,12013,1
1,17933,5
3,7764,4
3,6048,5
3,16774,4
3,17756,5
3,10019,4
9,17722,5
9,5969,3
9,9151,4
9,23715,3
9,2291,2
9,22725,3
9,3223,4
9,17525,4
9,1538,2
9,8735,3
9,25453,3
9,15520,3
9,18859,2
9,8680,4
9,21606,3
9,21278,3
9,6918,3
9,17557,4
9,24539,4
9,15196,4
9,5122,4
9,12104,3
9,13841,4
9,3746,3
9,15882,3
9,364,4
9,17443,4
9,12203,4
9,25273,3
9,16048,3
9,5940,3
9,15918,3
9,21011,3
9,3514,3
10,23215,4
10,11896,2
10,16244,5
10,5807,4
27,2192,4
27,5418,3
27,19063,4
27,5124,3
27,14752,4
27,2392,2
27,9520,4
27,12679,5
27,17258,4
27,21462,3
27,6720,3
27,7021,4
27,17068,3
27,14588,4
27,22786,4
27,1862,4
28,21807,5
28,7164,4
28,16668,2
28,3188,4
28,17434,3
28,20289,4
28,21386,4
28,2827,4
28,4635,5
28,15681,4
28,1050,4
28,2463,2
28,14691,3
50,23550,3
50,13916,1
50,23477,4
50,15511,5
50,11990,4
50,10874,5
61,11342,2
61,15357,5
61,11385,1
61,21230,2
61,84,5
77,2434,5
77,6988,5
77,4579,4
77,17878,5
77,14839,5
96,12618,5
96,22698,1
96,21216,2
96,16873,1
96,11863,1
96,15210,1
99,19394,4
99,22210,5
99,6121,4
99,9000,3
99,24453,4
99,8074,5
99,20965,5
99,2827,5
99,18136,5
99,4087,4
99,19489,4
129,1570,5
129,12839,4
129,20756,3
129,23327,2
151,25215,5
151,16195,5
151,226,3
151,7717,4
151,15243,5
160,7750,4
160,2085,5
160,11036,5
160,23290,5
164,19622,5
164,14984,4
164,4815,5
164,22662,4
164,13696,4
168,10476,2
168,6384,3
168,14436,3
168,23007,3
168,17092,4
168,9481,4
168,17567,4
168,9466,5
168,22800,4
168,2432,4
168,22229,3
168,23924,4
168,24059,4
168,23386,4
168,10769,3
168,3252,4
168,7084,3
168,8281,5
168,16780,4
168,15827,4
168,21982,4
168,21254,4
168,15160,5
168,19070,4
168,559,4
168,21202,4
168,21646,3
177,24473,2
177,10173,5
177,15480,1
177,4240,5
177,17150,3
177,24510,1
177,14850,5
177,24235,1
177,12440,4
177,22506,4
177,25255,4
177,23709,5
177,10278,4
177,23618,4
177,11111,4
177,16614,3
177,14948,2
177,14600,2
177,11986,4
177,23307,3
177,4050,3
177,861,4
177,14883,4
185,6054,5
185,9655,5
185,23356,5
185,9163,5
205,18506,5
205,4062,1
205,16832,5
205,16749,5
205,21218,1
205,13251,5
205,18036,5
210,11780,2
210,14953,5
210,19271,4
210,14781,4
222,15501,4
222,6497,5
222,8741,5
222,6048,5
222,19815,4
225,319,3
225,18647,2
225,2653,3
225,24305,4
234,9062,4
234,4757,4
234,16550,5
234,1065,5
234,6100,5
234,18789,5
234,1747,2
234,24271,1
234,12566,5
234,8491,1
234,10078,2
234,6949,3
234,1173,2
234,11190,4
234,12933,1
237,812,4
237,4403,4
237,25441,4
237,404,5
237,10019,4
237,16774,4
237,16545,5
238,82,1
238,14415,1
238,11988,1
238,24112,1
238,16452,3
238,18424,5
245,9685,2
245,25450,5
245,7547,1
245,1276,2
